"ITEM","CODE","VALUE","SCORE","UNWTD","UNWTD %","WTD","WTD %","AVGE MEAS","P.SD MEAS","S.E. MEAS","INFIT MNSQ","OUTFIT MNSQ","PTMA","LABEL"
22,"C",0,0,17,7.4236,17.0000,7.4236,-.7355,.5777,.1444,1.1378,1.1805,-.0295,"MAT22"
22,"D",0,0,47,20.5240,47.0000,20.5240,-.9077,.5942,.0876,.9859,.9786,-.1905,"MAT22"
23,"*",0,0,26,11.3537,26.0000,11.3537,-1.4852,.9495,.1899,.7257,.6777,-.3613,"MAT23"
23,"A",0,0,41,17.9039,41.0000,17.9039,-.7536,.4704,.0744,1.0445,1.0721,-.0799,"MAT23"
23,"B",0,0,34,14.8472,34.0000,14.8472,-.8659,.5861,.1020,.9855,1.0273,-.1499,"MAT23"
23,"C",1,1,102,44.5415,102.0000,44.5415,-.4506,.6565,.0653,.9704,.9542,.3162,"MAT23"
23,"D",0,0,26,11.3537,26.0000,11.3537,-1.0020,.5926,.1185,.8992,.8779,-.2096,"MAT23"
24,"*",0,0,15,6.5502,15.0000,6.5502,-1.6621,.8556,.2287,.6455,.5661,-.3313,"MAT24"
24,"A",0,0,10,4.3668,10.0000,4.3668,-.9718,.4542,.1514,.9801,.9428,-.0946,"MAT24"
24,"B",0,0,27,11.7904,27.0000,11.7904,-1.0328,.6833,.1340,.9959,.9410,-.1966,"MAT24"
24,"C",0,0,25,10.9170,25.0000,10.9170,-1.1329,.5474,.1117,.8767,.8264,-.2419,"MAT24"
24,"D",1,1,152,66.3755,152.0000,66.3755,-.5270,.6443,.0524,.9528,.9264,.3592,"MAT24"
25,"*",0,0,23,10.0437,23.0000,10.0437,-1.2555,1.1577,.2468,1.0663,.9780,-.2324,"MAT25"
25,"A",1,1,103,44.9782,103.0000,44.9782,-.4786,.6604,.0654,.9958,.9769,.3283,"MAT25"
25,"B",0,0,38,16.5939,38.0000,16.5939,-.8715,.5467,.0899,.9728,1.0017,-.1345,"MAT25"
25,"C",0,0,44,19.2140,44.0000,19.2140,-.9002,.4746,.0724,.9172,.9315,-.1706,"MAT25"
25,"D",0,0,21,9.1703,21.0000,9.1703,-.9552,.6792,.1519,.9785,.9495,-.1391,"MAT25"
26,"*",0,0,9,3.9301,9.0000,3.9301,-1.7457,1.0737,.3796,.6952,.6470,-.2762,"MAT26"
26,"A",0,0,9,3.9301,9.0000,3.9301,-1.2730,.4365,.1543,.7750,.7019,-.1713,"MAT26"
26,"B",0,0,18,7.8603,18.0000,7.8603,-1.0688,.6460,.1567,.9897,.9403,-.1585,"MAT26"
26,"C",0,0,30,13.1004,30.0000,13.1004,-1.2021,.7237,.1344,.8912,.8524,-.2885,"MAT26"
26,"D",1,1,163,71.1790,163.0000,71.1790,-.5429,.6115,.0480,.9063,.8928,.4026,"MAT26"
27,"*",0,0,20,8.7336,20.0000,8.7336,-1.6275,.7063,.1620,.5668,.5081,-.3724,"MAT27"
27,"A",0,0,26,11.3537,26.0000,11.3537,-.9973,.6252,.1250,.9678,.9451,-.1867,"MAT27"
27,"B",0,0,30,13.1004,30.0000,13.1004,-1.0338,.6912,.1284,.9449,.9039,-.2249,"MAT27"
27,"C",1,1,131,57.2052,131.0000,57.2052,-.4677,.6433,.0564,.9360,.9150,.3728,"MAT27"
27,"D",0,0,22,9.6070,22.0000,9.6070,-.9181,.3960,.0864,.9442,.9383,-.1297,"MAT27"
28,"*",0,0,30,13.1004,30.0000,13.1004,-1.4235,.9655,.1793,.8070,.7293,-.3592,"MAT28"
28,"A",0,0,32,13.9738,32.0000,13.9738,-.8759,.4554,.0818,.9500,.9571,-.1609,"MAT28"
28,"B",1,1,112,48.9083,112.0000,48.9083,-.5060,.6146,.0583,.9826,.9529,.2498,"MAT28"
28,"C",0,0,36,15.7205,36.0000,15.7205,-.6945,.6712,.1135,1.2347,1.2732,-.0373,"MAT28"
28,"D",0,0,19,8.2969,19.0000,8.2969,-.9768,.6326,.1491,.9393,1.0101,-.1716,"MAT28"
